ACCELEROMETER X,ACCELEROMETER Y,ACCELEROMETER Z,LIGHT,PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time,YYYY-MO-DD HH-MI-SS_SSS
-2.825,-7.594,4.328,3,0,53.7,,,,NaN,,,,0 / 0,16508,2018-11-09 17:06:15:492
-0.938,-7.786,4.146,19,0,53.7,,,,NaN,,,,0 / 0,16608,2018-11-09 17:06:15:592
-5.277,-6.387,7.249,2,0,53.7,,,,NaN,,,,0 / 0,16708,2018-11-09 17:06:15:692
-4.932,-4.146,6.78,9,0,44.83,,,,NaN,,,,0 / 0,16808,2018-11-09 17:06:15:792
-4.635,-7.422,9.423,12,0,44.83,,,,NaN,,,,0 / 0,16908,2018-11-09 17:06:15:892
-5.305,-1.063,9.807,21,0,44.83,,,,NaN,,,,0 / 0,17008,2018-11-09 17:06:15:992
-4.539,-0.114,10.496,7,0,50.25,,,,NaN,,,,0 / 0,17108,2018-11-09 17:06:16:092
-5.784,-0.612,12.785,4,0,50.25,,,,NaN,,,,0 / 0,17208,2018-11-09 17:06:16:192
-5.564,-1.312,10.822,2,0,50.25,,,,NaN,,,,0 / 0,17309,2018-11-09 17:06:16:293
-4.568,-4.003,9.079,20,0,62.41,,,,NaN,,,,0 / 0,17408,2018-11-09 17:06:16:392
-4.194,-5.966,8.36,18,0,62.41,,,,NaN,,,,0 / 0,17508,2018-11-09 17:06:16:492
-2.614,-8.226,5.2,16,0,62.41,,,,NaN,,,,0 / 0,17608,2018-11-09 17:06:16:592
-2.317,-7.987,1.599,11,0,61.35,,,,NaN,,,,0 / 0,17708,2018-11-09 17:06:16:692
-2.212,-5.439,2.968,8,0,61.35,,,,NaN,,,,0 / 0,17808,2018-11-09 17:06:16:792
-1.647,-7.077,1.896,14,0,61.35,,,,NaN,,,,0 / 0,17908,2018-11-09 17:06:16:892
-2.375,-11.463,3.323,22,0,54.64,,,,NaN,,,,0 / 0,18008,2018-11-09 17:06:16:992
0.114,-9.5,-0.718,24,0,54.64,,,,NaN,,,,0 / 0,18109,2018-11-09 17:06:17:093
-1.551,-9.376,0.957,24,0,54.64,,,,NaN,,,,0 / 0,18208,2018-11-09 17:06:17:192
-2.25,-9.127,1.637,18,0,58.22,,,,NaN,,,,0 / 0,18308,2018-11-09 17:06:17:292
-1.714,-7.91,1.81,9,0,58.22,,,,NaN,,,,0 / 0,18408,2018-11-09 17:06:17:392
-2.317,-7.91,1.005,2,0,58.22,,,,NaN,,,,0 / 0,18508,2018-11-09 17:06:17:492
-1.494,-7.297,4.865,18,0,58.22,,,,NaN,,,,0 / 0,18608,2018-11-09 17:06:17:592
-2.748,-7.02,7.642,16,0,37.92,,,,NaN,,,,0 / 0,18708,2018-11-09 17:06:17:692
-4.031,-4.348,8.265,10,0,37.92,,,,NaN,,,,0 / 0,18808,2018-11-09 17:06:17:792
-3.955,-0.699,9.289,14,0,37.92,,,,NaN,,,,0 / 0,18909,2018-11-09 17:06:17:893
-4.644,-1.484,10.563,24,0,49.77,,,,NaN,,,,0 / 0,19008,2018-11-09 17:06:17:992
-5.66,-0.747,11.138,6,0,49.77,,,,NaN,,,,0 / 0,19109,2018-11-09 17:06:18:093
-5.803,-1.043,12.431,17,0,49.77,,,,NaN,,,,0 / 0,19208,2018-11-09 17:06:18:192
-4.731,-3.352,9.05,13,0,61.11,,,,NaN,,,,0 / 0,19308,2018-11-09 17:06:18:292
-4.846,-4.539,7.786,3,0,61.11,,,,NaN,,,,0 / 0,19408,2018-11-09 17:06:18:392
-3.735,-6.311,6.502,31,0,61.11,,,,NaN,,,,0 / 0,19508,2018-11-09 17:06:18:492
-3.38,-9.002,4.692,14,0,59.99,,,,NaN,,,,0 / 0,19608,2018-11-09 17:06:18:592
-2.011,-7.202,2.681,17,0,59.99,,,,NaN,,,,0 / 0,19708,2018-11-09 17:06:18:692
-1.944,-6.426,3.792,25,0,59.99,,,,NaN,,,,0 / 0,19808,2018-11-09 17:06:18:792
-3.122,-11.119,2.174,23,0,54.97,,,,NaN,,,,0 / 0,19908,2018-11-09 17:06:18:892
-0.517,-9.376,-0.335,9,0,54.97,,,,NaN,,,,0 / 0,20008,2018-11-09 17:06:18:992
-1.982,-10.103,1.58,9,0,54.97,,,,NaN,,,,0 / 0,20108,2018-11-09 17:06:19:092
